filename,source_url,page_url,author,license,category,width,height,note
side/side_pexels_30033728.jpg,https://images.pexels.com/photos/30033728/pexels-photo-30033728.jpeg,https://www.pexels.com/photo/30033728/,Mustapha Damilola,"Pexels License (free to use, no attribution required)",side,4160,5824,"PASS all 10: true 90deg lateral (only one shoulder line visible); full body, top of head to soles in frame, subject ~78% of frame height; ear clearly visible and unobstructed (short hair); neutral standing, feet together, standing on a low wooden block; arms hang at the sides, torso outline unobstructed; fitted suit; camera level; plain brown seamless background; single person; 4000x6000."
front/front_pexels_26728096.jpg,https://images.pexels.com/photos/26728096/pexels-photo-26728096.jpeg,https://www.pexels.com/photo/26728096/,Hanuman Photo Studio,"Pexels License (free to use, no attribution required)",front,4672,7008,"PASS: facing camera, shoulder line level, both shoulders visible, no torso rotation; full body head-to-shoes; arms hang completely free at the sides; hair tied back, ears visible; fitted suit; plain grey background; single person. NOTE: right foot is placed slightly forward rather than level with the left - stance is not perfectly symmetric."
uncertain/uncertain_front_pexels_28494855.jpg,https://images.pexels.com/photos/28494855/pexels-photo-28494855.jpeg,https://www.pexels.com/photo/28494855/,Moises Sanchez,"Pexels License (free to use, no attribution required)",uncertain_front,4000,5000,"Everything passes EXCEPT: the fingers of his right hand are tucked into the front trouser pocket (left hand hangs free). The torso outline is NOT occluded, so this may be acceptable to you even though rule 5 literally excludes hands in pockets. Feet shoulder-width, ears visible, full body, white background."
uncertain/uncertain_front_pexels_10220955.jpg,https://images.pexels.com/photos/10220955/pexels-photo-10220955.jpeg,https://www.pexels.com/photo/10220955/,Cordeiro Suekel,"Pexels License (free to use, no attribution required)",uncertain_front,1995,2993,"Same issue, more clearly: right hand is inserted into the front pocket up to the knuckles; left hand hangs free. Otherwise full body, facing camera, ears visible, white background, fitted clothing."
uncertain/uncertain_side_pexels_13802944.jpg,https://images.pexels.com/photos/13802944/pexels-photo-13802944.jpeg,https://www.pexels.com/photo/13802944/,Darien Johnson,"Pexels License (free to use, no attribution required)",uncertain_side,2403,3600,"I judge this a FAIL and put it here only for your review: true 90deg lateral, arms at sides, ear perfectly visible, plain background - BUT the feet are cut off at the bottom edge (only the toe of one shoe is inside the frame), so rule 2 (top of head to soles) is not met."
uncertain/uncertain_side_pexels_32084086.jpg,https://images.pexels.com/photos/32084086/pexels-photo-32084086.jpeg,https://www.pexels.com/photo/32084086/,Kaybee Photography,"Pexels License (free to use, no attribution required)",uncertain_side,3648,5472,"90deg lateral, full body, arms at sides, ear visible, good contrast - BUT the head is tilted markedly back/up. Craniovertebral angle would be measured on a deliberately non-neutral head position."
uncertain/uncertain_side_pexels_32192287.jpg,https://images.pexels.com/photos/32192287/pexels-photo-32192287.jpeg,https://www.pexels.com/photo/32192287/,Aleksey Mayorov,"Pexels License (free to use, no attribution required)",uncertain_side,2325,3500,"90deg lateral, full body, arms at sides, plain background, ear region visible - BUT the whole body leans forward from the ankles (posed lean), so trunk sagittal alignment is not a neutral stance."
uncertain/uncertain_side_pexels_3820333.jpg,https://images.pexels.com/photos/3820333/pexels-photo-3820333.jpeg,https://www.pexels.com/photo/3820333/,Retha Ferguson,"Pexels License (free to use, no attribution required)",uncertain_side,3214,4500,"90deg lateral, full body to bare feet, tight clothing, straight stance - BUT hands are clasped in prayer position in front of the chest (occludes torso) and hair hangs over the ear. Busy stone-column background."
uncertain/uncertain_front_pexels_7468197.jpg,https://images.pexels.com/photos/7468197/pexels-photo-7468197.jpeg,https://www.pexels.com/photo/7468197/,RDNE,"Pexels License (free to use, no attribution required)",uncertain_front,4480,6720,"Facing camera, full body, ears visible, white seamless - BUT hands are clasped behind the back and the military uniform is baggy (hip landmarks may drift, rule 6)."
uncertain/uncertain_front_pexels_16135927.jpg,https://images.pexels.com/photos/16135927/pexels-photo-16135927.jpeg,https://www.pexels.com/photo/16135927/,Fortal Fototeca,"Pexels License (free to use, no attribution required)",uncertain_front,4716,6704,"Full body, arms hanging, plain background - BUT the body is turned roughly 15-20 deg off-axis and the blazer is oversized; hair covers the upper part of the ears."
